,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,data
300,100,50,1,1,16,0.9,0.5,0.001,0.985,0.0005,-7553968.6,initial_data
301,100,50,1,1,16,0.9,0.5,0.001,0.985,0.001,-8310249.300000002,initial_data
302,100,50,1,1,16,0.9,0.5,0.001,0.995,0.0005,-7432187.0,initial_data
303,100,50,1,1,16,0.9,0.5,0.001,0.995,0.001,-7907660.1,initial_data
304,100,50,1,1,16,0.95,1,0.1,0.985,0.0005,-7579132.100000001,initial_data
305,100,50,1,1,16,0.95,1,0.1,0.985,0.001,-7727977.999999999,initial_data
306,100,50,1,1,16,0.95,1,0.1,0.995,0.0005,-8041580.2,initial_data
307,100,50,1,1,16,0.95,1,0.1,0.995,0.001,-7758521.700000001,initial_data
308,100,50,1,1,16,0.95,1,0.001,0.985,0.0005,-7534857.000000001,initial_data
309,100,50,1,1,16,0.95,1,0.001,0.985,0.001,-9072429.200000001,initial_data
310,100,50,1,1,16,0.95,1,0.001,0.995,0.0005,-7176132.4,initial_data
311,100,50,1,1,16,0.95,1,0.001,0.995,0.001,-7757100.9,initial_data
312,100,50,1,1,16,0.95,0.5,0.1,0.985,0.0005,-8069219.3,initial_data
