,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,allocation
138,100,10,1,1,64,0.99,0.5,0.1,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
139,100,10,1,1,64,0.99,0.5,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
140,100,10,1,1,64,0.99,0.5,0.001,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
141,100,10,1,1,64,0.99,0.5,0.001,0.985,0.001,-101572,"   Woman  Man
0      0    7"
142,100,10,1,1,64,0.99,0.5,0.001,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
143,100,10,1,1,64,0.99,0.5,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
144,100,20,1,1,16,0.9,1,0.1,0.985,0.0005,-364149,"   Woman  Man
0      5   10"
145,100,20,1,1,16,0.9,1,0.1,0.985,0.001,-482921,"   Woman  Man
0      5   11"
146,100,20,1,1,16,0.9,1,0.1,0.995,0.0005,-372215,"   Woman  Man
0      4   11"
147,100,20,1,1,16,0.9,1,0.1,0.995,0.001,-446096,"   Woman  Man
0      4   11"
148,100,20,1,1,16,0.9,1,0.001,0.985,0.0005,-362280,"   Woman  Man
0      4   11"
149,100,20,1,1,16,0.9,1,0.001,0.985,0.001,-506762,"   Woman  Man
0      4   12"
150,100,20,1,1,16,0.9,1,0.001,0.995,0.0005,-377871,"   Woman  Man
0      4   11"
151,100,20,1,1,16,0.9,1,0.001,0.995,0.001,-362280,"   Woman  Man
0      4   11"
152,100,20,1,1,16,0.9,0.5,0.1,0.985,0.0005,-367713,"   Woman  Man
0      4   11"
153,100,20,1,1,16,0.9,0.5,0.1,0.985,0.001,-362280,"   Woman  Man
0      4   11"
154,100,20,1,1,16,0.9,0.5,0.1,0.995,0.0005,-365844,"   Woman  Man
0      3   12"
155,100,20,1,1,16,0.9,0.5,0.1,0.995,0.001,-499532,"   Woman  Man
0      4   12"
156,100,20,1,1,16,0.9,0.5,0.001,0.985,0.0005,-362280,"   Woman  Man
0      4   11"
157,100,20,1,1,16,0.9,0.5,0.001,0.985,0.001,-377620,"   Woman  Man
0      3   12"
158,100,20,1,1,16,0.9,0.5,0.001,0.995,0.0005,-364226,"   Woman  Man
0      3   12"
159,100,20,1,1,16,0.9,0.5,0.001,0.995,0.001,-402128,"   Woman  Man
0      2   13"
160,100,20,1,1,16,0.95,1,0.1,0.985,0.0005,-372215,"   Woman  Man
0      4   11"
161,100,20,1,1,16,0.95,1,0.1,0.985,0.001,-478429,"   Woman  Man
0      4   12"
162,100,20,1,1,16,0.95,1,0.1,0.995,0.0005,-403860,"   Woman  Man
0      4   12"
